"Year","Team1","Team2","Team1_odd","Draw_odd","Team2_odd"
"2014","Australia"," Netherlands","13.23","6.55","1.23"
"2014","Russia","South Korea","1.81","3.6","4.64"
"2014","Brazil","Mexico","1.33","5.33","9.34"
"2014","Belgium ","Algeria","1.33","5.26","10.15"
"2014","Ghana"," USA","2.42","3.4","2.97"
"2014","Iran","Nigeria","4.79","3.5","1.82"
"2014","Germany ","Portugal","2.05","3.53","3.71"
"2014","Argentina","Bosnia & Herzegovina","1.31","5.53","10.26"
"2014","France ","Honduras","1.27","5.87","11.85"
"2014","Switzerland","Ecuador","2.41","3.19","3.16"
"2014","Ivory Coast ","Japan","2.7","3.29","2.71"
"2014","England"," Italy","2.54","2.98","3.21"
"2014","Uruguay"," Costa Rica","1.43","4.31","8.8"
"2014","Colombia","Greece","1.86","3.25","5.09"
"2014","Chile ","Australia","1.42","4.44","8.74"
"2014","Spain"," Netherlands","1.83","3.35","5.06"
"2014","Mexico","Cameroon","2.18","3.15","3.75"
"2014","Brazil","Croatia","1.32","5.16","11.26"
"2010","Netherlands","Spain","3.78","3.33","2.02"
"2010","Uruguay"," Germany","3.92","3.64","1.89"
"2010","Germany "," Spain","2.73","3.32","2.56"
"2010","Uruguay"," Netherlands","5.52","3.52","1.67"
"2010","Paraguay"," Spain","8.43","4.2","1.42"
"2010","Argentina"," Germany","2.3","3.22","3.16"
"2010","Uruguay","Ghana","1.88","3.27","4.35"
"2010","Netherlands","Brazil","4.06","3.27","1.97"
"2010","Spain","Portugal","1.98","3.19","4.16"
"2010","Paraguay","Japan","2.17","3.13","3.59"
"2010","Brazil","Chile","1.52","3.92","6.67"
"2010","Netherlands","Slovakia","1.39","4.35","9.14"
"2010","Argentina","Mexico","1.6","3.69","6.09"
"2010","Germany ","England","2.89","3.03","2.61"
"2010","USA","Ghana","2.42","3.06","3.13"
"2010","Uruguay","South Korea","1.85","3.27","4.7"
"2010","Chile "," Spain","6.91","4.15","1.48"
"2010","Switzerland","Honduras","1.52","4","6.64"
"2010","North Korea","Ivory Coast","8.81","4.88","1.35"
"2010","Portugal ","Brazil","3.51","2.93","2.33"
"2010","Cameroon"," Netherlands","5.26","3.73","1.66"
"2010","Denmark"," Japan","2.22","3.22","3.33"
"2010","Paraguay","New Zealand","1.39","4.4","8.85"
"2010","Slovakia ","Italy","6.78","3.82","1.54"
"2010","Australia","Serbia","4.25","3.55","1.85"
"2010","Ghana"," Germany","7.54","4.23","1.45"
"2010","Slovenia"," England","7.78","4.17","1.44"
"2010","USA","Algeria","1.87","3.55","4.1"
"2010","Greece "," Argentina","7.09","4.09","1.48"
"2010","Nigeria","South Korea","2.89","3.28","2.44"
"2010"," South Africa","France ","3.44","3.4","2.1"
"2010","Mexico"," Uruguay","3.72","1.91","3.7"
"2010","Spain","Honduras","1.11","8.36","22.57"
"2010","Chile ","Switzerland","2.16","3.14","3.6"
"2010","Portugal ","North Korea","1.36","4.44","9.84"
"2010","Brazil","Ivory Coast","1.72","3.44","5.32"
"2010","Italy","New Zealand","1.21","5.85","15.63"
"2010","Slovakia "," Paraguay","3.78","3.21","2.05"
"2010","Cameroon"," Denmark","2.87","3.17","2.52"
"2010","Ghana","Australia","2.3","3.14","3.23"
"2010","Netherlands","Japan","1.43","4.1","8.4"
"2010","England","Algeria","1.23","5.52","14.9"
"2010","Slovenia","USA","3.64","3.18","2.11"
"2010","Germany "," Serbia","1.62","3.73","5.72"
"2010","France "," Mexico","2.09","3.12","3.83"
"2010","Greece ","Nigeria","3.77","3.18","2.07"
"2010","Argentina","South Korea","1.5","3.85","7.55"
"2010","South Africa"," Uruguay","3.22","3.04","2.39"
"2010","Spain"," Switzerland","1.27","5.16","13.02"
"2010","Honduras"," Chile","5.68","3.47","1.68"
"2010","Brazil","North Korea","1.1","9.09","28.29"
"2010","Ivory Coast ","Portugal","3.81","3.15","2.09"
"2010","New Zealand","Slovakia","7.41","3.91","1.49"
"2010","Italy","Paraguay","2.13","3.02","3.84"
"2010","Japan","Cameroon","3.61","3.11","2.16"
"2010","Netherlands","Denmark","1.51","3.93","7"
"2010","Germany ","Australia","1.5","3.9","7.22"
"2010","Serbia"," Ghana","2.03","3.22","3.91"
"2010","Algeria"," Slovenia","3.6","3.12","2.16"
"2010","England","USA","1.5","4.04","6.87"
"2010","Argentina","Nigeria","1.4","4.38","8.63"
"2010","South Korea ","Greece","2.71","3","2.82"
"2010","Uruguay","France","3.56","3.13","2.17"
"2010","South Africa","Mexico","2.87","3.14","2.55"
"2006","Italy","France","2.51","2.79","3.07"
"2006","Germany ","Portugal","1.85","3.3","4.29"
"2006","Portugal "," France","3.82","2.87","2.13"
"2006","Germany ","Italy","2.38","2.88","3.21"
"2006","Brazil"," France","1.74","3.25","5.08"
"2006","England","Portugal","2.11","2.97","3.7"
"2006","Italy","Ukraine","1.58","3.38","6.86"
"2006","Germany ","Argentina","2.53","3","2.87"
"2006","Spain"," France","2.32","2.99","3.16"
"2006","Brazil","Ghana","1.26","5.16","10.25"
"2006","Switzerland","Ukraine","2.41","3.02","3.08"
"2006","Italy","Australia","1.51","3.7","7.11"
"2006","Portugal ","Netherlands","3.1","3.03","2.35"
"2006","England","Ecuador","1.49","3.79","7.05"
"2006","Argentina","Mexico","1.37","4.08","9.39"
"2006","Germany ","Sweden","1.63","3.46","5.63"
"2006","Switzerland","South Korea","1.99","2.83","4.41"
"2006","Togo"," France","14.43","6.91","1.14"
"2006","Saudi Arabia "," Spain","16.03","6.71","1.14"
"2006","Ukraine ","Tunisia","1.59","3.58","6.2"
"2006","Croatia","Australia","2.23","3.2","2.95"
"2006","Japan"," Brazil","12","5.25","1.21"
"2006","Czech Republic"," Italy","3.95","3.15","1.95"
"2006","Ghana","USA","2.2","3.25","2.75"
"2006","Ivory Coast ","Serbia and Montenegro","2.1","3.2","3"
"2006","Netherlands","Argentina","3.4","3","2"
"2006","Iran","Angola","2.4","3.1","2.6"
"2006","Portugal ","Mexico","2.2","2.62","3.5"
"2006","Paraguay","Trinidad & Tobago","1.8","3.75","3.3"
"2006","Sweden","England","3.1","2.62","2.37"
"2006","Costa Rica","Poland","4.5","3.3","1.66"
"2006","Spain","Tunisia","1.3","4","9.5"
"2006","Saudi Arabia "," Ukraine","7","3.75","1.4"
"2006","Togo"," Switzerland","6.5","3.6","1.44"
"2006","France ","South Korea","1.44","3.5","7"
"2006","Brazil","Australia","1.2","5","11"
"2006","Japan","Croatia","5","3.3","1.61"
"2006","Czech Republic"," Ghana","1.61","3.3","5"
"2006","Portugal ","Iran","1.3","4","9.5"
"2006","Mexico","Angola","1.4","3.5","8"
"2006","Netherlands","Ivory Coast","1.9","3.1","3.6"
"2006","Sweden","Paraguay","1.9","3.1","3.6"
"2006","England","Trinidad & Tobago","1.13","5.5","15"
"2006","Ecuador","Costa Rica","1.9","3.1","3.6"
"2006","Spain","Ukraine","1.8","3","4.33"
"2006","Brazil","Croatia","1.4","3.5","8"
"2006","France ","Switzerland","1.65","3.25","5.4"
"2006","South Korea ","Togo","2.04","2.87","3.5"
"2006","Italy","Ghana","1.5","3.3","6.5"
"2006","Australia","Japan","2.5","3.15","2.8"
"2006","Angola"," Portugal","9","3.75","1.33"
"2006","Serbia and Montenegro"," Netherlands","4.12","3.06","1.89"
"2006","England","Paraguay","1.61","3.36","5.94"
"2006","Poland"," Ecuador","1.9","3.25","3.75"
"2006","Germany ","Costa Rica","1.26","4.94","11.36"
"2008","Germany "," Spain","3.03","3.16","2.25"
"2008","Russia "," Spain","3.57","3.34","2.07"
"2008","Germany "," Turkey","1.43","4.24","7.72"
"2008","Spain "," Italy","2.44","3.05","3.06"
"2008","Netherlands "," Russia","1.68","3.75","5.01"
"2008","Croatia "," Turkey","1.83","3.36","4.59"
"2008","Portugal "," Germany","2.3","3.12","3.27"
"2008","Greece "," Spain","5.16","3.71","1.66"
"2008","Russia "," Sweden","2.63","3.28","2.65"
"2008","France "," Italy","2.75","3.54","2.42"
"2008","Netherlands "," Romania","2.79","3.67","2.47"
"2008","Austria "," Germany","8.52","4.49","1.39"
"2008","Poland "," Croatia","2.42","3.39","2.7"
"2008","Switzerland "," Portugal","3.23","3.3","2.21"
"2008","Turkey "," Czech Republic","3.36","3.06","2.28"
"2008","Greece "," Russia","3.29","3.31","2.19"
"2008","Sweden "," Spain","5.99","3.55","1.63"
"2008","Netherlands "," France","2.66","3.05","2.8"
"2008","Italy "," Romania","1.69","3.44","5.53"
"2008","Austria "," Poland","3.3","3.28","2.2"
"2008","Croatia "," Germany","5.19","3.3","1.79"
"2008","Switzerland "," Turkey","2.21","3.21","3.29"
"2008","Czech Republic "," Portugal","4.41","3.17","1.95"
"2008","Greece "," Sweden","2.91","3.06","2.53"
"2008","Spain "," Russia","1.69","3.5","5.21"
"2008","Netherlands "," Italy","3.17","2.98","2.42"
"2008","Romania "," France","4.83","3.22","1.83"
"2008","Germany "," Poland","1.52","3.8","6.82"
"2008","Austria "," Croatia","4.47","3.27","1.87"
"2008","Portugal "," Turkey","1.71","3.41","5.37"
"2008","Switzerland "," Czech Republic","2.84","3.05","2.59"
"2012","Spain "," Italy","2.15","3.11","3.79"
"2012","Germany "," Italy","1.87","3.36","4.55"
"2012","Portugal "," Spain","4.3","3.28","1.94"
"2012","England "," Italy","2.87","2.9","2.78"
"2012","Spain "," France","1.86","3.35","4.61"
"2012","Germany "," Greece","1.32","5.16","9.78"
"2012","Czech Republic "," Portugal","5.73","3.59","1.67"
"2012"," Ukraine","England ","4.04","3.32","1.98"
"2012","Sweden "," France","5.16","3.69","1.7"
"2012","Croatia "," Spain","9.19","3.69","1.49"
"2012","Italy ","Republic of Ireland","1.38","4.69","8.41"
"2012","Denmark "," Germany","6.9","3.91","1.54"
"2012","Portugal "," Netherlands","2.67","3.6","2.5"
"2012"," Poland","Czech Republic ","2.25","3.33","3.23"
"2012","Greece "," Russia","4.99","3.59","1.74"
"2012","Sweden "," England","3.31","3.11","2.33"
"2012","Ukraine "," France","4.03","3.1","2.07"
"2012","Spain ","Republic of Ireland","1.23","6.16","13.47"
"2012","Italy "," Croatia","2.38","3.12","3.22"
"2012","Netherlands "," Germany","2.95","3.24","2.47"
"2012","Denmark "," Portugal","4.57","3.48","1.83"
"2012","Poland "," Russia","3.25","3.26","2.28"
"2012","Greece "," Czech Republic","3.35","3.18","2.28"
"2012","Ukraine "," Sweden","2.64","3.2","2.78"
"2012","France "," England","2.47","2.98","3.26"
"2012","Republic of Ireland"," Croatia","4.08","3.15","2.04"
"2012","Spain "," Italy","1.75","3.43","5.26"
"2012","Germany "," Portugal","2.08","3.3","3.69"
"2012","Netherlands "," Denmark","1.7","3.57","5.4"
"2012","Russia "," Czech Republic","2.44","3.08","3.14"
"2012","Poland "," Greece","2.03","3.16","4.15"
"2016"," France","Portugal ","2.16","3.08","4.24"
"2016"," France","Germany ","2.81","3","2.95"
"2016","Portugal "," Wales","2.18","3.12","4.03"
"2016","France "," Iceland","1.43","4.86","8.16"
"2016","Germany "," Italy","2.28","3.02","3.86"
"2016","Wales "," Belgium","4.94","3.37","1.89"
"2016","Poland "," Portugal","3.68","2.93","2.4"
"2016","England "," Iceland","1.46","4.22","9.13"
"2016","Italy "," Spain","4.47","2.91","2.17"
"2016","Hungary "," Belgium","7.1","3.63","1.64"
"2016","Germany "," Slovakia","1.42","4.23","11.09"
"2016","France ","Republic of Ireland","1.53","3.75","9.14"
"2016","Croatia "," Portugal","2.83","3.01","2.93"
"2016","Wales "," Northern Ireland","2.03","2.97","5.08"
"2016","Switzerland "," Poland","3.03","2.87","2.87"
"2016","Italy ","Republic of Ireland","2.29","3.13","3.7"
"2016","Sweden "," Belgium","4.99","3.35","1.9"
"2016","Hungary "," Portugal","9.47","4.05","1.48"
"2016","Iceland "," Austria","3.69","3.17","2.26"
"2016","Croatia "," Spain","5.35","3.08","1.94"
"2016","Czech Republic "," Turkey","2.36","3.6","3.07"
"2016","Northern Ireland "," Germany","13.7","4.77","1.34"
"2016","Ukraine "," Poland","4.55","3.2","2.01"
"2016","Russia "," Wales","2.63","3.06","3.11"
"2016","Slovakia "," England","5.81","3.18","1.84"
"2016","Romania "," Albania","2.07","3.5","3.87"
"2016"," France","Switzerland ","1.94","2.92","5.96"
"2016","Portugal "," Austria","1.74","3.68","5.45"
"2016","Iceland "," Hungary","2.66","3","3.14"
"2016","Belgium ","Republic of Ireland","1.89","3.35","5.04"
"2016","Spain "," Turkey","1.48","4.15","9.04"
"2016","Czech Republic "," Croatia","4.53","3.11","2.06"
"2016","Italy "," Sweden","2.03","3.05","4.76"
"2016","Germany "," Poland","1.62","4.04","6.23"
"2016","Ukraine "," Northern Ireland","1.77","3.37","6.12"
"2016","England "," Wales","1.68","3.74","6.11"
"2016","France "," Albania","1.25","5.96","16.15"
"2016","Romania "," Switzerland","3.51","3.05","2.4"
"2016","Russia "," Slovakia","2.42","3.15","3.35"
"2016","Portugal "," Iceland","1.43","4.52","9.08"
"2016","Austria "," Hungary","1.68","3.65","6.27"
"2016","Belgium "," Italy","2.71","3","3.06"
"2016","Republic of Ireland"," Sweden","3.75","3.04","2.3"
"2016","Spain "," Czech Republic","1.44","4.5","9.02"
"2016","Germany "," Ukraine","1.52","4.31","7.36"
"2016","Poland "," Northern Ireland","1.77","3.39","5.91"
"2016","Turkey "," Croatia","4.2","3.33","2.04"
"2016","England "," Russia","1.77","3.54","5.57"
"2016","Wales "," Slovakia","3.1","2.97","2.71"
"2016","Albania "," Switzerland","5.16","3.23","1.9"
"2016","France "," Romania","1.37","4.82","11.31"
"2021"," England","Italy ","2.55","2.94","3.38"
"2021","England "," Denmark","1.76","3.48","5.65"
"2021","Italy "," Spain","2.51","3.16","3.16"
"2021","Ukraine "," England","7.71","4.03","1.53"
"2021","Czech Republic "," Denmark","3.99","3.1","2.17"
"2021","Belgium "," Italy","3.4","3.16","2.36"
"2021","Switzerland "," Spain","5.86","3.88","1.65"
"2021","Sweden "," Ukraine","2.33","3.23","3.4"
"2021","England "," Germany","2.45","3.34","3.1"
"2021","France "," Switzerland","1.63","3.84","6.25"
"2021","Croatia "," Spain","6.39","3.88","1.61"
"2021","Belgium "," Portugal","2.44","3.34","3.12"
"2021","Netherlands "," Czech Republic","1.6","3.98","6.15"
"2021","Italy "," Austria","1.57","3.88","7.24"
"2021","Wales "," Denmark","4.61","3.14","2"
"2021","Germany "," Hungary","1.13","9.83","20.3"
"2021","Portugal "," France","4.3","3.42","1.98"
"2021"," Spain","Slovakia ","1.2","7.17","16.54"
"2021","Sweden "," Poland","2.99","3.41","2.48"
"2021"," Scotland","Croatia ","2.74","3.95","2.41"
"2021"," England","Czech Republic ","1.51","4.14","7.9"
"2021","Finland "," Belgium","9.44","4.74","1.4"
"2021"," Denmark","Russia ","1.64","4.24","5.34"
"2021"," Netherlands","North Macedonia ","1.24","6.77","12.39"
"2021","Ukraine "," Austria","3.73","2.23","3.14"
"2021","Italy "," Wales","1.5","3.97","8.52"
"2021","Switzerland "," Turkey","1.65","4.43","4.96"
"2021","Spain "," Poland","1.32","5.46","10.45"
"2021"," Germany","Portugal ","2.23","3.42","3.45"
"2021","Hungary "," France","12.56","5.54","1.29"
"2021","England "," Scotland","1.32","5.45","11.13"
"2021","Croatia "," Czech Republic","2.21","3.28","3.62"
"2021","Sweden "," Slovakia","1.91","3.29","4.82"
"2021","Netherlands "," Austria","1.62","3.93","6.16"
"2021","Denmark "," Belgium","4.39","3.3","1.99"
"2021","Ukraine "," North Macedonia","1.82","3.63","4.8"
"2021","Italy "," Switzerland","1.69","3.6","6.14"
"2021","Turkey "," Wales","2.82","3.07","2.83"
"2021"," Russia","Finland ","1.59","3.91","6.66"
"2021"," Germany","France ","2.66","3.35","2.79"
"2021","Hungary "," Portugal","8.39","4.44","1.44"
"2021","Spain "," Sweden","1.36","5.06","10.01"
"2021","Poland "," Slovakia","1.73","3.45","5.94"
"2021","Scotland "," Czech Republic","2.85","2.95","2.91"
"2021","Netherlands "," Ukraine","1.52","4.39","6.67"
"2021","Austria "," North Macedonia","1.75","3.59","5.44"
"2021","England "," Croatia","1.55","4.1","6.87"
"2021"," Russia ","Belgium ","4.13","3.32","2.04"
"2021","Denmark "," Finland","1.36","4.8","11.76"
"2021","Wales "," Switzerland ","4.67","3.2","1.97"
"2021"," Italy ","Turkey ","1.45","4.55","8.12"
